Jurisdiction,Total Households,Population 25 years and older,Less than 9th Grade,High School no Diploma,High School Diploma,Some College no degree,Associates degree,Bachelor's degree,Graduate or Professional,Employment Status of the Population 16 years and over,Civilian Labor Force (16 years & over),Employed,Unemployed,Unemployment Rate,Commute Workers 16 yrs and over,Percent Drove Alone,Percent Carpooled,Percent Public Transportation,Percent Walked,Percent Other,Percent Worked at Home,Median Household Income ($),Families,Percent Families in Poverty,Percent Civilian Population w/ Health Ins. Cov.,Total Housing Units,Percent Occupied,Percent Vacant,Total Population,Voting Age Population,Male,Female,White Alone,Black Alone,Asian Alone,American Indian/Alaska Native Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,Hispanic or Latino (of any race)
Frederick,94299,174651,5675,7313,41545,32490,14830,40541,32257,203225,141330,135563,5767,4.1,134016,76.9,8.3,2.1,1.9,1.3,9.6,100685,68106,4.4,95.5,99179,95.1,4.9,255955,185552,90798,94754,185309,24325,11309,444,160,386,8494,25528
Garrett,12745,21532,607,1513,9192,3372,1792,2926,2130,24547,14496,13894,602,4.2,13668,79,9,0.8,3,0.4,7.9,54542,8406,6.1,93.6,19428,65.6,34.4,29155,23639,11658,11981,28053,348,128,16,12,0,253,345
Harford,95094,176518,3815,8433,45907,38313,14924,37733,27393,204422,137385,131679,5706,4.2,130855,82,8.1,1.1,0.9,1.1,6.9,94003,69006,4.2,96.7,100952,94.2,5.8,253736,194010,93718,100292,191074,34527,6662,311,6,1049,8251,11856
Howard,116457,218263,4597,5199,29137,30807,11731,66306,70486,252820,177352,170492,6860,3.9,169456,77.2,6.5,3.2,1,1.1,11,124042,85446,3.6,96.3,120834,96.4,3.6,322407,221082,106581,114501,163403,60494,59359,537,90,1745,14066,22713
Kent,8274,13916,571,923,4341,2198,833,2937,2113,16718,9745,9422,323,3.3,9258,73.5,7,1.2,7.1,1.4,9.9,60208,4950,6,95.9,10687,77.4,22.6,19456,15793,7427,8366,15058,2706,222,15,1,39,542,873
Montgomery,372825,722320,35922,26507,96619,95054,40251,197098,230869,831326,586232,559029,27203,4.6,549986,62.6,9.1,13,2.1,1.7,11.4,111812,260678,4.4,93.2,390475,95.5,4.5,1047661,673691,318848,354843,451553,188234,156007,1430,377,6926,38514,204620
Prince George's,315634,619759,42043,37368,156826,130953,39413,118752,94404,728528,516613,483654,32959,6.4,475260,65.9,10.4,13.1,1.8,2.3,6.5,86994,203838,5.6,89.7,334407,94.4,5.6,910551,601144,277615,323529,112285,557553,38412,2012,276,4721,24198,171094
Queen Anne's,19000,35768,565,1850,10380,7001,2919,7708,5345,40631,26506,25678,828,3.1,25283,78,8.4,1.4,1.7,0.7,9.8,96467,13794,3.1,95.7,21363,88.9,11.1,50163,38489,18905,19584,42850,2932,549,28,0,137,1602,2065
St. Mary's,8509,17147,724,2102,6355,3941,1322,1853,850,21792,10350,9395,955,9.2,9200,74.1,10.8,0.7,6,3.2,5.3,44980,5711,15.1,94.8,11476,74.1,25.9,25699,20897,11423,9474,13233,10434,213,70,0,5,798,946
Somerset,41280,75225,2612,4637,22962,14618,6289,13957,10150,89053,57964,55942,2022,3.5,56674,80,8.3,1.5,2,1,7.2,95864,29477,6.7,95.3,45867,90,10,113182,83228,41447,41781,83320,16163,2914,67,21,188,4502,6007
Talbot,16810,28037,782,1698,6484,5621,2318,5957,5177,31138,17832,17311,521,2.9,17089,77.5,7.6,1.2,2.6,1.5,9.6,73102,10452,5.5,95.9,20252,83,17,37087,29026,13499,15527,28746,3941,485,58,0,62,1250,2545
Washington,56367,105634,3346,9197,37995,23240,8219,13986,9651,121549,72850,68853,3997,5.5,67878,79,9.3,1.5,1.7,1.1,7.4,63510,37939,8.8,94.8,61621,91.5,8.5,150575,114506,58037,56469,117471,16142,2551,210,133,263,5636,8169
Wicomico,38142,65208,2699,5346,21554,12594,4757,10619,7639,83233,53845,49592,4253,7.9,48898,81.5,9.3,0.7,1.8,1.8,4.9,60366,24213,8.9,93.3,42452,89.8,10.2,103222,76125,35237,40888,64097,26745,3106,159,20,395,3150,5550
Worcester,22661,39612,883,2187,12216,9228,3294,7399,4405,44064,25755,24238,1517,5.9,23732,80.8,7.3,2.5,2.2,1.7,5.5,65396,14499,6.3,94.6,56485,40.1,59.9,51967,41616,19954,21662,41534,6513,608,85,0,106,1239,1882
